id;numero_contrat_collectif;migre;code_entite_rattachement;code_centre_gestion;code_groupe_gestion;code_reseau_distribution;type_contrat_collectif;etat_contrat;date_effet_premiere_souscription;date_effet_derniere_resiliation;motif_resiliation;code_nature_couverture;code_offre;numero_version_offre;echeance_principale;code_organisme_porteur_risque;indicateur_porteur_risque;code_organisme_producteur_fiche_dsn;code_organisme_delegataire_cotisations;code_organisme_delegataire_prestations;date_premier_mois_cotisation_autorise;numero_operation_niveau_0;statut
1;ew forenenst yuck;anti short that;or;vicinity;if till by;pace;outside;wide-eyed ugh;2025-08-22;2025-08-22;unless variable;refer;lest resolve;unbalance;abaft freight;widow extremely fiercely;midst;righteously avaricious prance;convalesce sadly;validity;torn;26996;bright
2;viability internalize;rarely;fraudster better;hundred;throughout footrest;against frenetically replacement;hypothesise bossy dislocate;boohoo er fabricate;2025-08-21;2025-08-21;rich;bid nutritious vastly;critical book;pish but leading;indeed;degrease;anenst galoshes;yeast;pfft queasily selfishly;happily hmph regarding;boiling omelet;16241;mockingly meh
3;heating pilot impressive;babushka rightfully frenetically;wherever;scorn robust as;whenever yet upon;yuck;fatherly;zowie;2025-08-21;2025-08-22;frozen;urgently enhance whereas;fuel nutritious;apropos;switchboard fooey about;mothball;however wound;whoever ha;athwart;pro;like transcend when;27633;lest indeed
4;whoa;ugh defenseless;only consequently;vary;black brr forenenst;marimba;generously brr to;mid if;2025-08-22;2025-08-22;until the;quaff;concerning;hmph question appliance;aggressive;explode;blond thin;carefully ugh;disadvantage exterior;upright wrongly;instead;7232;useless
5;often;yuck clean;unless astride spirit;sticky;worth;unbearably because;ultimately;moment factorise;2025-08-22;2025-08-21;whup;mean pity unless;hm till near;gah covenant;whenever curry accept;peppery by;prance crowded zowie;zowie clearly under;intermix;serialize turret;brr how wearily;5707;too wallaby ick
6;woot gosh knottily;uh-huh favorite;wriggler besides who;thoughtfully than if;aha neglect duh;likewise before;pessimistic;cultivated;2025-08-22;2025-08-22;microchip round conservative;anenst;meanwhile fooey accept;eek;netsuke thigh ew;apropos;narrate impure since;so while nor;yahoo um avalanche;drat longingly reckless;snuggle;6118;pish which
7;quaintly however;behind handover frugal;pillow decriminalize incidentally;bah whistle;formal consistency absolve;yuck;if hm red;provided;2025-08-22;2025-08-21;inexperienced shrilly grouper;gee filter inborn;incidentally likewise;so atop;unrealistic emphasise;dredger powerfully;atop though gah;soft;livid;massage nearly unabashedly;useless nocturnal why;1702;whereas
8;despite;nucleotidase stint;after rosemary;boo when;before hm up;hm;boohoo ick at;amid quarrelsomely;2025-08-21;2025-08-21;outside round whoa;once round rear;definitive after;transplant mesh unnaturally;or acclaimed welcome;monasticism;whereas that webbed;reconstitute scarper outlying;across;indeed;drat numeric faithfully;10775;of grounded
9;yowza overreact;developing;although pro;yellowish;past noon;ew;finally boohoo till;upon yuck order;2025-08-21;2025-08-21;zowie after amongst;whereas;loaf;quaver colorful;whine quaff unless;although generously but;hm homeschool;considering psst axe;mentor failing yahoo;shush ugh;towards till blah;14601;gut institutionalize
10;woot;silt dislocate highly;acquire while;slight incidentally pastel;meh though;genuine;before;braid yeast though;2025-08-21;2025-08-22;shout or;quarrelsome overconfidently;that except;limp whoa how;pause;scrap mould;excluding;beside how chainstay;stoop;that conceal misjudge;oof;18774;lock petticoat
