id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape;identifiant_ai;checked
1;neat readily when;until excepting seriously;right bar;phew;bah whenever ew;shanghai aw;weatherize clone;traffic across excess;2025-08-22;2025-08-22;2025-08-21;keenly fully;unwieldy hungrily;2025-08-22;2025-08-22;furthermore piglet voluntarily;phew lashes;until for zowie;enchanted venture newsprint;excepting hollow modulo;since pastel;halt daddy;ack annually via;pfft yippee;false
2;knowingly er so;minority;in-joke swing;upon forager peter;monumental till sarong;midst override unimpressively;keenly;unless;2025-08-21;2025-08-22;2025-08-21;memorise advertisement firm;warp frivolous flickering;2025-08-21;2025-08-21;mediocre;downright;vaguely geez;phew;silent once;hmph once;a spirit gah;below;yippee fooey;true
3;grass until;aha interestingly psst;mmm wherever;avow;bah flight;in;miserably on burly;gosh till;2025-08-22;2025-08-22;2025-08-22;until secondary selfish;rewarding meanwhile;2025-08-22;2025-08-22;gleefully emboss serpentine;psst woefully;brown unaccountably;lean;including inasmuch;monocle;provision;the;foolhardy as;false
4;unpleasant capitalise;emerge whoever metallic;grown worthless;longboat to interestingly;disapprove;cluttered epic;soliloquy likewise;implode obedient imaginative;2025-08-21;2025-08-21;2025-08-22;outsource;amid biodegrade aside;2025-08-21;2025-08-21;lyre unscramble decouple;shady moment now;abaft noisily;kissingly quip anti;hmph drowse lively;unconscious unruly;aside what through;um;pile or;false
5;intellect;per quaff;which;masculinize eek;save minority;formation deck how;softly;yippee when fork;2025-08-22;2025-08-21;2025-08-22;amid;whenever;2025-08-21;2025-08-22;pigpen;silver fortunately vainly;because;provided bad difficult;record;indeed;first everlasting jealously;unique innocently;receptor conversation;true
6;unethically longingly raw;king honestly;cannibalise;safely;fortunately aha mismatch;minus;mash;boohoo;2025-08-22;2025-08-21;2025-08-21;whether first;yowza;2025-08-22;2025-08-22;waterlogged after;phooey digit expostulate;sleepily;tasty;steel;iridescence helplessly questionably;noted;hmph oof;gently facilitate mostly;false
7;small;astride boulevard while;tromp granular huzzah;watery quicker furiously;hoick a;gee after;trek;heartfelt amongst aw;2025-08-21;2025-08-22;2025-08-21;think while bracelet;next;2025-08-21;2025-08-22;persecute;absolve cruelty than;scamper book haircut;slap demonstrate;how yahoo pro;the wound;out;oof brr aged;woot whether;true
8;tattered through;consequently;speedily wherever;before brr;optimal;dash creak;around freckle wedge;freely um;2025-08-21;2025-08-22;2025-08-21;boohoo viciously;and that lest;2025-08-21;2025-08-22;gee;oof bah;however;since;skeleton;whitewash commodity gah;dissemble unto;annually before;so;true
9;than dapper;yuck assail;pace petty round;govern;considering apropos needily;dirty;tut;circle instructive vulgarise;2025-08-22;2025-08-21;2025-08-22;wrong never quinoa;consistency following;2025-08-22;2025-08-22;yowza sugary oof;mmm towards;jumbo great;before youthfully daily;easy;masculinize angelic;officially;unripe outflank;off good;false
10;although;vastly gadzooks rewarding;blah experienced;mythology;responsible cautiously until;shakily idealistic;off phooey;geez;2025-08-21;2025-08-21;2025-08-21;scale sign considering;serene huzzah elegantly;2025-08-21;2025-08-21;although;daily;even;scout mmm;besides;meh;for times blacken;beneath owlishly forage;overdub supposing gosh;true
