id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_ape;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic;identifiant_ai;checked
1;worth amendment;down the;pace bathhouse soybean;atop;rejigger once;big likewise afore;unnaturally;metal needily;2025-08-22;2025-08-22;2025-08-22;whoa than;disappointment grok darn;ferociously whenever now;intrepid pace too;2025-08-22;2025-08-21;rise ignite;cinder daintily whole;yuck obligation pro;loftily apprehensive;per whoa;before wavy;since meanwhile;false
2;inwardly;widow oblong merge;huzzah;creature;duh than chunder;cinch geez toothbrush;fooey;tenderly repossess though;2025-08-21;2025-08-21;2025-08-21;eek fit;efface;discourse;before;2025-08-21;2025-08-21;address lender;through out;swanling flickering procrastinate;likewise forenenst above;rundown detain before;bungalow till yum;amendment;true
3;self-reliant phew forenenst;license lost who;till;entwine spook;tusk ew;mortise massage;at incomplete;into heartbeat wetly;2025-08-22;2025-08-22;2025-08-21;duh;certainly geez;badly violin;if quaintly;2025-08-21;2025-08-22;whoa goat draft;guide following telescope;accountability;until reflate;wilted boohoo shoddy;thoughtfully brr nor;peony;true
4;moment orchestrate near;pleasant a indeed;dime;mmm;anenst coaxingly;but afford;discourse;lost edge;2025-08-21;2025-08-22;2025-08-22;fooey diligently;hourly;extroverted thongs furthermore;apud;2025-08-22;2025-08-21;frivolous pressure;what fencing;wherever afore;mmm follower;release a superior;keenly;now outlaw nudge;false
5;familiar;gee arrogantly in;whose brr ample;relative malfunction along;now gloat;heartfelt aha marten;unexpectedly indeed;birdcage;2025-08-21;2025-08-22;2025-08-22;chapel;against;ceramic;ack even as;2025-08-22;2025-08-22;phooey mmm;ew as;ah;contravene woot poorly;yowza front swing;smarten alliance calmly;demobilise drat;false
6;irritably before since;violently beside;fooey for;whenever roundabout advancement;brr regularly;mid;whose long-term eek;plan;2025-08-22;2025-08-21;2025-08-22;within;insidious lonely voluntarily;orange grubby;knuckle hm;2025-08-21;2025-08-22;under amidst waist;baptise sideboard salty;gnash tense;joyously;phooey out;pessimistic ignite against;hygienic;false
7;amidst;reconsideration;rightfully soap dearly;daughter;underneath;yum downchange;coop plus despite;skeleton loosely shocked;2025-08-21;2025-08-22;2025-08-22;whack versus;scared casket;underneath whisper evenly;gee heavily;2025-08-21;2025-08-22;wisely yahoo bah;boo;cemetery intrepid;or than;vary;mechanically ugh when;selfishly skeleton;true
8;drab floss;hence;yahoo shyly;fooey aw playfully;hmph;steel;team;assail;2025-08-21;2025-08-21;2025-08-21;searchingly keenly searchingly;behold maul;menacing massage;over;2025-08-21;2025-08-22;hm aw once;hopelessly greatly flashy;huge um alive;abaft quiet abaft;pfft perfumed ugh;excepting outside;meager yogurt that;false
9;round;dependable during cannon;bar unfortunately;instance kindly vague;wherever toward geez;yum upliftingly but;meanwhile basket;poetry quietly;2025-08-22;2025-08-21;2025-08-22;westernize before quintuple;consequently ew about;stage highly;mouser hmph late;2025-08-21;2025-08-21;whoa;failing furthermore apropos;underneath across painfully;cease;exotic rosy before;bind confused;transom;false
10;considering fail godparent;oh numeracy psst;near;militate innocently;furthermore foot;unlike;next repeatedly meaningfully;cruel hence;2025-08-22;2025-08-22;2025-08-21;stealthily swing refute;boohoo thin;lighthearted;beside indeed;2025-08-22;2025-08-22;deadly anxiously;unless till;thyme;ew overdue so;whimsical pfft;which yahoo;sticky ah;true
